measure_name,datum,country_id,country_name,first_year,last_year,footnotes,sources
"Among women aged 15–19 who want to avoid pregnancy, % using other modern methods of contraception",0,TR,Turkey,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % using other modern methods of contraception",0,UA,Ukraine,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",10,AL,Albania,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",52,AM,Armenia,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",82,BY,Belarus,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",30,BA,"Bosnia and Herzegovina",2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",77,BG,Bulgaria,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",79,MK,"North Macedonia",2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",72,MD,"Republic of Moldova",2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",73,ME,Montenegro,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",78,RO,Romania,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",84,RS,Serbia,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",29,TR,Turkey,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception",81,UA,Ukraine,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",90,AL,Albania,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",48,AM,Armenia,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",18,BY,Belarus,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",70,BA,"Bosnia and Herzegovina",2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",23,BG,Bulgaria,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",21,MK,"North Macedonia",2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",28,MD,"Republic of Moldova",2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",27,ME,Montenegro,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",22,RO,Romania,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",16,RS,Serbia,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",71,TR,Turkey,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception",19,UA,Ukraine,2019,n/a,"Modern methods of contraception are female and male sterilization, implants, IUDs, hormonal pills, injectables, male and female condoms, emergency contraceptive pills, patches, rings, diaphragms, vaginal spermicides, other supply methods, lactational amenorrhea method (which involves exclusive breastfeeding for up to six month postpartum), Standard Days Method and TwoDay Method; Women are defined as having an unmet need for modern contraception if they want to avoid a pregnancy but are currently using a traditional contraceptive method or are using no method. Women are defined as having a met need if they are using any modern method of contraception.    ; Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",8,AL,Albania,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",9,AM,Armenia,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",6,BA,"Bosnia and Herzegovina",2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",17,BG,Bulgaria,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",4,BY,Belarus,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",8,MD,"Republic of Moldova",2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",8,ME,Montenegro,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",9,RO,Romania,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",12,RS,Serbia,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",13,TR,Turkey,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",8,UA,Ukraine,2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care",8,MK,"North Macedonia",2019,n/a,,"Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % not using any method of contraception",61,AL,Albania,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % not using any method of contraception",22,AM,Armenia,2019,n/a,"Women who want to avoid a pregnancy are considered to be in need of contraception. They are women who are married or who are unmarried and sexually active, who are able to become pregnant and who do not want a child in the next two years; women who are pregnant and identify their pregnancy as unintended; and women experiencing postpartum amenorrhea after an unintended pregnancy","Adding It Up all women dataset, Open Science Framework, 2021., Sully EA et al.; Adding It Up: Investing in Sexual and Reproductive Health 2019, New York: Guttmacher Institute, 2020., Sully EA et al."
